id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Gold Chains,Trap Lord,hip-hop,confident,0.85,96,0.72,0.92,0.04
12,Moonlight Reverie,Clara Voss,classical,melancholic,0.22,54,0.30,0.25,0.97
13,Dusty Roads,The Prairie Boys,country,nostalgic,0.55,88,0.62,0.58,0.74
14,Silk & Honey,Vera James,r&b,romantic,0.58,85,0.68,0.76,0.32
15,Blackout Riff,Iron Shade,metal,angry,0.97,168,0.22,0.48,0.02
16,Drop Zone,Pulse Circuit,edm,euphoric,0.96,140,0.88,0.95,0.01
17,Porch Swing Summer,June Hollow,folk,peaceful,0.30,76,0.74,0.45,0.91
18,Twelve Bar Heartache,Ray Morrow,blues,melancholic,0.44,68,0.35,0.52,0.65
19,Island Vibes,Sun & Smoke,reggae,uplifting,0.61,82,0.79,0.80,0.48
20,Sunday Soul,Mavis Clark,soul,romantic,0.52,94,0.73,0.70,0.55
